Unnamed: 0,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
699,Memories (feat. Kid Cudi),David Guetta,big room,2010,2024‑02‑02,130,87,-6,25,50,210,0,34,81
700,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,adult standards,1975,2024‑02‑02,104,50,-13,5,97,197,6,3,78
701,Good Time,Owl City,indietronica,2012,2024‑02‑02,126,87,-4,37,68,206,2,14,79
702,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,europop,1979,2024‑02‑02,120,49,-10,16,54,293,2,4,84
703,Come On Eileen,Dexys Midnight Runners,new romantic,1982,2024‑02‑02,107,66,-7,26,78,287,66,5,79
704,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,colombian pop,2023,2024‑02‑02,127,91,-4,15,62,202,0,25,79
705,Hot N Cold,Katy Perry,pop,2008,2024‑02‑02,132,84,-4,7,86,220,0,4,77
706,Call on Me - Radio Mix,Eric Prydz,edm,2004,2024‑02‑02,126,84,-7,84,45,171,0,38,78
707,Foo2 (Msh Ader),Medhat Saleh,arab pop,2024,2024‑02‑02,72,33,-9,6,57,220,59,5,45
708,Mesh Kefaya,Ramy Gamal,arab pop,2018,2024‑02‑02,130,40,-11,14,32,336,69,3,36
709,قلبي ياللي كلامي عندك,Hoda Bondok,mahraganat,2023,2024‑02‑02,186,93,-1,10,68,199,15,23,57
710,Hala Khasa Gedan,Angham,arab pop,2019,2024‑02‑02,119,52,-8,7,36,286,65,6,51
711,3Yat El Roh,Esaf,,2024,2024‑02‑02,140,44,-10,10,49,221,82,4,38
712,بيتكلم عليا,George Wassouf,arab pop,2022,2024‑02‑02,174,84,-5,23,23,257,4,10,52
713,Benlf w Nedor,Rahal,,2023,2024‑02‑02,120,57,-5,20,18,213,9,3,38
714,Ya Dayra,Amr Mostafa,arab pop,2022,2024‑02‑02,160,33,-10,11,59,206,64,8,40
715,البوصلة ضاعت,Marwan Moussa,egyptian hip hop,2019,2024‑02‑02,107,50,-10,12,30,210,67,13,60
716,منحوس,Wegz,egyptian hip hop,2020,2024‑02‑02,112,42,-12,8,29,246,67,6,48
717,Msh Madmoun,Mahmoud El Esseily,arab pop,2017,2024‑02‑02,164,64,-7,10,85,254,4,8,55
718,Khalina Zekra,Wael Jassar,arab pop,2011,2024‑02‑02,159,72,-6,25,54,256,40,15,58
719,الكدابين,Sherine,arab pop,2018,2024‑02‑02,170,72,-6,18,66,249,71,13,59
720,Akeed Rag3een,Hamza Namira,arab pop,2023,2024‑02‑02,137,39,-10,11,39,148,50,6,40
721,انا بكيت,Code Masr,egyptian alternative,2023,2024‑02‑02,115,34,-10,9,26,261,94,3,33
722,Mahabetnesh,Muslim - مُسلِم,egyptian alternative,2023,2024‑02‑02,75,40,-11,19,31,259,71,4,56
723,Ana Msh Shamtan,Mohamed Rashad,egyptian viral pop,2021,2024‑02‑02,136,78,-6,20,79,246,20,7,36
724,Haytna - From Bhabak Movie,Tamer Hosny,arab pop,2023,2024‑02‑02,140,56,-6,21,41,224,28,3,43
725,Metkatef,Amir Eid,egyptian alternative,2023,2024‑02‑02,128,39,-9,10,19,207,51,4,58
726,baet wahdak,Adham Seliman,arab pop,2023,2024‑02‑02,99,54,-6,12,31,225,76,4,48
727,Noss Omry,George Wassouf,arab pop,2023,2024‑02‑02,160,68,-6,36,34,188,53,17,46
728,Sogara,Afroto,egyptian hip hop,2020,2024‑02‑02,99,49,-8,14,52,255,57,4,51
729,Meen Fe Dol,Ahmed Kamel,egyptian pop,2021,2024‑02‑02,92,57,-9,13,33,236,24,18,52
730,Asda2 Meen,عطار,egyptian pop,2024,2024‑02‑02,110,64,-8,23,52,164,40,12,40
731,كان ليا حبايب,Hoda Bondok,mahraganat,2023,2024‑02‑02,140,45,-9,12,31,258,56,5,53
732,El Omr Kollo,Bahaa Sultan,arab pop,2023,2024‑02‑02,73,56,-7,23,30,261,52,13,44
733,Loon Bahet,Mohamed Chahine,egyptian pop,2023,2024‑02‑02,140,51,-8,13,67,242,47,7,46
734,Demoua',Hamada Helal,arab pop,2000,2024‑02‑02,83,59,-6,16,33,359,67,7,37
735,ميت انا مش عارفني,Essam Sasa,egyptian pop,2022,2024‑02‑02,97,71,-5,50,48,164,66,8,48
736,Leih Beyfakkarouny,Mohamed Mohie,arab pop,2001,2024‑02‑02,140,55,-10,22,53,280,35,3,44
737,Sabok Fel Beit,Muslim - مُسلِم,egyptian alternative,2023,2024‑02‑02,151,50,-9,12,30,310,84,11,52
738,Rehla,Muhab,egyptian trap,2023,2024‑02‑02,105,35,-15,7,26,224,60,20,59
739,عز,Muslim,egyptian pop,2023,2024‑02‑02,110,55,-14,11,40,183,31,12,46
740,Elly Yemshy 3ady,Dalia,khaliji,2021,2024‑02‑02,156,66,-6,10,63,280,56,4,44
741,Haoul W Esmaa,Ahmed Batshan,arab pop,2023,2024‑02‑02,150,56,-8,13,52,246,74,3,46
742,Aamel Eh Fe Hayatak,Amer Mounib,arab pop,2019,2024‑02‑02,184,56,-11,10,85,198,28,5,55
743,متفقين,Afroto,egyptian hip hop,2019,2024‑02‑02,115,45,-9,11,38,219,50,4,44
744,هنتقابل بعدين,Haytham Shaker,arab pop,2022,2024‑02‑02,130,39,-11,28,55,270,84,4,32
745,B3edt,Ahmed Saad,arab pop,2022,2024‑02‑02,85,11,-11,27,39,124,97,4,53
746,ونندم,Amr Diab,arab pop,1990,2024‑02‑02,97,41,-13,21,79,240,49,7,41
747,Mraite,Xoureldin,egyptian alternative,2021,2024‑02‑02,98,30,-13,8,12,181,54,4,49
748,Khanat El-Zekrayat,Assala Nasri,arab pop,2015,2024‑02‑02,162,66,-9,55,42,293,31,19,51
749,Dari Ya Alby,Hamza Namira,arab pop,2018,2024‑02‑02,78,48,-13,11,77,270,90,8,57
750,Eb2a 2ablny,Fadel Chaker,arab pop,2020,2024‑02‑02,160,57,-7,10,35,352,14,4,49
751,Ward Senaaey,Tamer Hosny,arab pop,2018,2024‑02‑02,89,57,-9,15,27,223,16,21,45
752,Rakam Wahd Fel Grah,Tarek El Sheikh,shaabi,2023,2024‑02‑02,76,53,-7,31,49,184,55,6,44
753,Meen Kan Sabab,Muslim - مُسلِم,egyptian alternative,2022,2024‑02‑02,83,40,-11,11,16,269,83,8,58
754,Lama Bentgahel,Assala Nasri,arab pop,2023,2024‑02‑02,172,67,-6,10,89,206,64,7,50
755,Ally El Wadaa,Amr Diab,arab pop,2003,2024‑02‑02,85,56,-8,9,65,194,7,5,59
756,Ganna Tekfena,Mahmoud El Esseily,arab pop,2020,2024‑02‑02,78,29,-11,14,30,251,91,3,55
757,Ana Law Zalana,Ruby,arab pop,2021,2024‑02‑02,142,41,-10,10,51,252,75,3,36
758,Ana Lewahdy,Ramy Gamal,arab pop,2020,2024‑02‑02,83,66,-7,33,54,294,60,6,37
759,Ereft Elly Feiha,Tamer Hosny,arab pop,2007,2024‑02‑02,140,31,-13,8,41,235,52,3,45
760,El Ayam El Helwa,Ehab Tawfik,arab pop,1999,2024‑02‑02,166,39,-11,25,61,225,44,4,41
761,Baraje'i Nafsi,Sherine,arab pop,2008,2024‑02‑02,170,35,-7,9,17,164,49,4,33
762,Had Men Jilak,Mohamed Osama,,2024,2024‑02‑02,120,34,-4,13,28,201,92,3,36
763,Tamselia,Mahmoud El Esseily,arab pop,2020,2024‑02‑02,176,49,-9,11,57,245,42,7,35
764,مش كفاية فراق,Mohamed Hamaki,arab pop,2023,2024‑02‑02,85,54,-8,35,36,274,11,6,49
765,Ana Ghaltan,Bahaa Sultan,arab pop,2021,2024‑02‑02,88,71,-8,12,49,268,39,6,56
766,Tamally,Tamer Ashour,arab pop,2022,2024‑02‑02,160,63,-7,11,62,240,47,8,43
767,Met3shm Fe Men,Mohamed Chahine,egyptian pop,2023,2024‑02‑02,138,52,-8,10,65,239,16,11,43
768,Ghareibah El Nas,Wael Jassar,arab pop,2008,2024‑02‑02,137,74,-8,8,81,265,8,5,58
769,Kefaya,Adham Seliman,arab pop,2022,2024‑02‑02,140,60,-5,9,24,293,39,4,42
770,كل حاجة بتعدي - كايروكي من الاستوديو,Cairokee,arab alternative,2020,2024‑02‑02,172,40,-13,12,50,204,75,5,53
771,Dadena,Bahaa Sultan,arab pop,2023,2024‑02‑02,104,77,-7,7,86,198,27,7,48
772,Hawel Tensany,Ramy Sabry,arab pop,2019,2024‑02‑02,82,61,-7,10,70,220,36,10,38
773,Osad Babek,Ahmed Kamel,egyptian pop,2020,2024‑02‑02,84,50,-11,23,28,257,41,5,45
774,Cyber Moon,Rie a.k.a. Suzaku,hel,2013,2024‑02‑02,125,87,-4,14,10,219,0,9,21
775,Born This Way,BAD HOP,j-rap,2019,2024‑02‑02,146,47,-10,23,27,167,1,21,41
776,Ashura,TAEYO,,2020,2024‑02‑02,100,85,-6,19,59,144,10,8,29
777,King & Ashley,MY FIRST STORY,j-pop,2019,2024‑02‑02,108,96,-4,12,44,204,0,11,51
778,The Opera House of Illusions,Emille's Moonlight Serenade,,2018,2024‑02‑02,183,94,-2,22,42,359,0,7,21
779,Falling Down,Sho from MY FIRST STORY,,2020,2024‑02‑02,170,98,-5,32,17,100,0,8,34
780,Make Me Crazy,UNDEAD CORPORATION,doujin,2020,2024‑02‑02,100,94,-4,32,39,254,0,7,34
781,Behavior Observation,Atsushi Takayama,,2020,2024‑02‑02,138,99,-5,33,24,184,2,11,23
782,Mangekyo,RagDollz,,2020,2024‑02‑02,110,89,-5,35,18,317,0,8,26
783,In Your Face,PABLO,,2020,2024‑02‑02,103,92,-5,38,6,90,0,10,29
784,Future Destination,Kelly SIMONZ,,2020,2024‑02‑02,87,68,-3,16,36,195,0,5,24
785,The Animal Fighter,Kenji Fujisawa,,2020,2024‑02‑02,88,95,-4,9,40,288,0,7,34
786,Black Phantom,Shuji Katayama,,2020,2024‑02‑02,108,96,-5,35,33,201,0,9,22
787,Battle Of Guild,FROZEN CAKE BAR,,2020,2024‑02‑02,90,97,-4,36,29,190,1,26,22
788,Future,SIRENT SCREEM,,2020,2024‑02‑02,85,97,-4,24,43,282,0,12,26
789,Meidoeno Inori,Magdalene Ju-nen,,2020,2024‑02‑02,135,70,-6,18,4,286,15,5,20
790,Dengeki Raigo,Yaiba,,2020,2024‑02‑02,126,95,-4,15,30,243,0,8,23
791,Dark Angel,Funta7,,2020,2024‑02‑02,140,93,-4,34,50,198,0,8,23
792,Verum Cur Non Audimus,Regnum Caelorum Et Gehenna,,2020,2024‑02‑02,121,99,-3,33,15,226,0,10,20
793,Kishin,Kiji (kyosokarma),,2020,2024‑02‑02,157,98,-5,5,41,291,0,6,29
794,It'S All Over,NEPHILIM,,2020,2024‑02‑02,105,86,-4,43,37,269,0,9,21
795,Megabullets,FATE GEAR,japanese power metal,2020,2024‑02‑02,170,95,-4,33,32,222,0,11,28
796,Standing On The Grave Of Yesterday,Silex,,2020,2024‑02‑02,148,94,-3,32,14,335,0,7,23
797,Beautiful Beast,Yasuharu Takanashi,anime,2020,2024‑02‑02,180,89,-3,24,20,277,0,6,26
798,Bakko Hurricane,Bakudan Koukiatsu,,2020,2024‑02‑02,96,97,-3,30,42,268,0,6,20
799,Knock Me Down,KATAMALI,,2020,2024‑02‑02,112,93,-5,11,34,295,1,4,24
800,Last Dragon,Galactica Phantom,,2020,2024‑02‑02,77,99,-3,9,8,265,0,12,24
801,The Moment,BRIDEAR,idol rock,2020,2024‑02‑02,100,95,-4,7,38,193,0,10,25
802,Here It Comes-Ogre,K-A-Z,,2020,2024‑02‑02,115,96,-5,35,11,359,0,9,22
803,Karuma,Amaterasu,,2020,2024‑02‑02,170,93,-4,10,42,297,0,8,29
804,The Fall,Alice In Hell,,2020,2024‑02‑02,85,99,-5,11,58,202,0,7,24
805,The Emperor,Zing!,,2020,2024‑02‑02,110,98,-3,33,39,239,0,18,34
806,Axis of Hate,DEVIL WITHIN,japanese death metal,2019,2024‑02‑02,120,100,-2,31,19,261,0,15,30
807,Kengan,Yasuharu Takanashi,anime,2020,2024‑02‑02,140,97,-4,33,62,118,0,11,43
808,Gekitotsu,Yasuharu Takanashi,anime,2020,2024‑02‑02,90,94,-5,26,36,134,0,7,37
809,Kyouteki,Yasuharu Takanashi,anime,2020,2024‑02‑02,140,98,-4,5,68,122,0,5,35
810,Eccentric Parade,Akinari Suzuki,,2020,2024‑02‑02,128,91,-6,16,80,218,0,3,17
811,Kaisen,Yasuharu Takanashi,anime,2020,2024‑02‑02,142,85,-6,24,38,202,0,5,24
812,Shitou,Yasuharu Takanashi,anime,2020,2024‑02‑02,95,96,-4,28,35,152,0,5,31
813,Sorrow Like Lightning / Ai-shiden-issen,Happy Heads NANIYORI,japanese metalcore,2020,2024‑02‑02,104,94,-4,8,71,192,0,15,36
814,سيبك من كرته المواقع ( خد كشاف انا عارف انك ياض بتخاف ),Ameen Khattab,mahraganat,2023,2024‑02‑02,116,87,-4,6,84,248,38,5,58
815,يلا نلعبو جوله,حوده بوده,mahraganat,2024,2024‑02‑02,115,81,-3,7,83,48,16,9,55
816,اختياراتي - من فيلم مستر إكس,Ahmed Saad,arab pop,2023,2024‑02‑02,120,80,-4,15,85,170,7,4,66
817,طب هص,Eslam Kabonga,mahraganat,2023,2024‑02‑02,106,90,-2,18,80,356,12,11,58
818,الوتر الحساس,Sherine,arab pop,2018,2024‑02‑02,140,82,-5,63,91,261,46,5,74
819,كلام عينيه,Sherine,arab pop,2018,2024‑02‑02,132,76,-5,19,75,236,5,4,77
820,Reyah El Hayah,Hamza Namira,arab pop,2023,2024‑02‑02,174,52,-8,10,69,229,79,6,59
821,Wo3ood,Afroto,egyptian hip hop,2024,2024‑02‑02,140,30,-11,20,14,252,73,4,53
822,انا مش لومانجى ( نازل نيابه عندى جلسه ),Eslam Kabonga,mahraganat,2023,2024‑02‑02,110,77,-2,19,92,330,21,9,58
823,YAZMEELY,Muhab,egyptian trap,2023,2024‑02‑02,100,47,-9,11,22,197,57,4,66
824,Ya Layaly,Ahmed Saad,arab pop,2023,2024‑02‑02,140,70,-6,13,93,187,33,4,66
825,Khaleny Fe Hodnak,Tamer Ashour,arab pop,2022,2024‑02‑02,130,68,-5,18,44,197,14,3,65
826,زماني صابني عيار,Magdy El Zahar,egyptian viral pop,2023,2024‑02‑02,110,89,-1,10,80,190,47,12,55
827,قراميط قراميط و الهلافيت عاملين مظابيط (صحبي اللي اداك يدينا ),Karim Cristiano,mahraganat,2023,2024‑02‑02,112,98,1,21,78,231,17,18,61
828,جيت متأخر,Ramy Gamal,arab pop,2023,2024‑02‑02,84,64,-7,7,76,199,11,5,65
829,Fel Galeed,Lege-Cy,egyptian hip hop,2024,2024‑02‑02,120,73,-6,39,66,187,61,7,58
830,Lelly Yah - Remastered,Marwan Pablo,egyptian hip hop,2023,2024‑02‑02,120,63,-6,21,39,188,17,9,58
831,منحرفين ( في حضورنا الدنيا بتتشقلب ),Essam Sasa,egyptian pop,2024,2024‑02‑02,110,92,-1,36,88,183,13,6,55
832,Mawahashtkesh !!? - From Hormone El Saada Album,Tamer Hosny,arab pop,2024,2024‑02‑02,79,45,-10,9,10,327,30,4,61
833,Gheyrak Hawel,Muslim,egyptian viral pop,2023,2024‑02‑02,123,97,-5,29,55,195,28,6,62
834,Aleb Fel Dafater,Muslim - مُسلِم,egyptian alternative,2022,2024‑02‑02,82,50,-9,17,37,306,53,14,64
835,بوم تش,اسلام كابونجا,mahraganat,2023,2024‑02‑02,107,93,-1,26,89,312,31,16,58
836,بونجور هلعب جولة وطفو النور,Eslam Kabonga,mahraganat,2023,2024‑02‑02,108,86,-2,13,69,356,7,11,52
837,ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023,Eslam Kabonga,mahraganat,2023,2024‑02‑02,107,89,-1,27,83,434,33,11,69
838,مخصماك,Nawal,egyptian pop,2022,2024‑02‑02,108,88,-5,5,96,195,55,4,65
839,QLONA,KAROL G,reggaeton,2023,2024‑02‑02,170,74,-7,9,48,173,52,31,93
840,"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,argentine hip hop,2024,2024‑02‑02,96,57,-8,12,44,190,59,16,94
841,LUNA,Feid,colombian pop,2023,2024‑02‑02,100,86,-3,12,45,197,13,13,97
842,Cruel Summer,Taylor Swift,pop,2019,2024‑02‑02,170,70,-6,11,56,178,12,16,99
843,Paint The Town Red,Doja Cat,dance pop,2023,2024‑02‑02,100,56,-8,11,73,230,26,19,88
844,Agora Hills,Doja Cat,dance pop,2023,2024‑02‑02,123,69,-6,13,38,265,18,10,86
845,"yes, and?",Ariana Grande,pop,2024,2024‑02‑02,119,76,-7,10,82,215,20,5,97
846,La Diabla,Xavi,sad sierreno,2023,2024‑02‑02,132,82,-4,24,70,172,26,4,99
847,HISS,Megan Thee Stallion,houston rap,2024,2024‑02‑02,167,66,-5,21,69,193,8,42,84
848,redrum,21 Savage,atl hip hop,2024,2024‑02‑02,172,74,-8,50,25,271,1,5,95
849,Feather,Sabrina Carpenter,pop,2023,2024‑02‑02,124,69,-4,9,84,186,9,3,93
850,La Víctima,Xavi,sad sierreno,2023,2024‑02‑02,140,84,-4,11,67,156,15,8,96
851,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,art pop,2023,2024‑02‑02,78,9,-18,10,14,222,96,3,95
852,Unwritten,Natasha Bedingfield,dance pop,2004,2024‑02‑02,100,80,-6,8,63,259,1,4,90
853,BELLAKEO,Peso Pluma,corridos tumbados,2023,2024‑02‑02,180,88,-3,15,46,197,6,10,95
854,HARLEY QUINN,Fuerza Regida,corrido,2023,2024‑02‑02,125,74,-6,22,59,143,3,6,94
855,Die For You,The Weeknd,canadian contemporary r&b,2016,2024‑02‑02,134,53,-7,13,51,260,11,6,91
856,PERRO NEGRO,Bad Bunny,reggaeton,2023,2024‑02‑02,96,78,-2,18,35,163,9,26,96
857,FIRST LOVE,Oscar Ortiz,corrido,2023,2024‑02‑02,74,59,-6,30,79,169,36,6,90
858,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,canadian hip hop,2023,2024‑02‑02,146,73,-5,38,14,319,4,5,93
859,Que Onda,Calle 24,corrido,2023,2024‑02‑02,125,94,-5,14,94,191,18,4,94
860,Prada,cassö,uk contemporary r&b,2023,2024‑02‑02,142,72,-6,11,42,132,0,4,94
861,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,canadian contemporary r&b,2023,2024‑02‑02,99,68,-6,41,85,215,6,19,96
862,Dance The Night - From Barbie The Album,Dua Lipa,dance pop,2023,2024‑02‑02,110,85,-5,33,78,177,2,5,93
863,Seven (feat. Latto) (Explicit Ver.),Jung Kook,k-pop,2023,2024‑02‑02,125,83,-4,8,87,184,31,4,90
864,Standing Next to You,Jung Kook,k-pop,2023,2024‑02‑02,106,81,-4,34,82,206,4,10,96
865,Houdini,Dua Lipa,dance pop,2023,2024‑02‑02,117,79,-5,9,87,186,0,6,94
866,As It Was,Harry Styles,pop,2022,2024‑02‑02,174,73,-5,31,66,167,34,6,95
867,Murder On The Dancefloor,Sophie Ellis-Bextor,dance pop,2002,2024‑02‑02,117,85,-5,31,89,230,0,3,93
868,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,classic oklahoma country,2023,2024‑02‑02,78,45,-8,10,16,227,55,5,94
869,Yellow,Coldplay,permanent wave,2000,2024‑02‑02,173,66,-7,23,28,267,0,3,93
870,Riptide,Vance Joy,folk-pop,2014,2024‑02‑02,102,73,-7,15,51,204,43,4,90
871,Lose Control,Teddy Swims,,2023,2024‑02‑02,160,60,-4,10,24,211,20,3,92
872,Praise Jah In The Moonlight,YG Marley,,2023,2024‑02‑02,125,73,-4,52,42,263,13,4,85
873,When I Was Your Man,Bruno Mars,dance pop,2012,2024‑02‑02,73,28,-9,9,39,214,93,4,91
874,Just the Way You Are,Bruno Mars,dance pop,2010,2024‑02‑02,109,84,-5,6,42,221,1,4,83
875,براحة يا شيخة,Bahaa Sultan,arab pop,2023,2024‑02‑02,110,75,-6,14,89,180,23,3,65
876,Regalo De Dios,Julión Álvarez y su Norteño Banda,banda,2023,2024‑02‑02,109,52,-6,9,92,186,20,3,84
877,Wiseman,unshackled,,2021,2024‑02‑02,96,24,-16,13,6,211,84,4,52
878,Peak of Love,Aldi Haqq,,2023,2024‑02‑02,148,25,-12,12,31,242,30,3,66
879,I’d Rather Overdose,HONESTAV,,2024,2024‑02‑02,107,61,-10,13,39,236,2,7,76
880,2 days into college,Aimee Carty,,2023,2024‑02‑02,129,30,-11,14,72,168,97,7,67
881,ONE CALL,Rich Amiri,rage rap,2023,2024‑02‑02,158,54,-7,11,25,121,1,6,80
882,Stumblin' In,CYRIL,,2023,2024‑02‑02,126,52,-8,13,37,213,6,6,80
883,Husn,Anuv Jain,desi pop,2023,2024‑02‑02,152,38,-10,14,24,218,68,3,88
884,Made For Me,Muni Long,indie r&b,2023,2024‑02‑02,120,47,-6,13,6,188,14,3,76
885,TRUE,YOARI,,2023,2024‑02‑02,168,44,-10,15,12,192,53,6,77
886,Nothing Matters,The Last Dinner Party,,2023,2024‑02‑02,101,80,-5,18,60,182,3,4,80
887,Buscando Money,TWENTY SIX,,2023,2024‑02‑02,128,81,-7,7,73,150,9,6,75
888,Plaster,Szpaku,polish hip hop,2024,2024‑02‑02,178,80,-5,25,12,155,2,23,76
889,M.A.I,Milo j,trap argentino,2023,2024‑02‑02,80,57,-6,23,51,184,76,3,83
890,"Ishq Nachaawe - From ""Kho Gaye Hum Kahan""",Karan Kanchan,desi hip hop,2023,2024‑02‑02,78,66,-5,9,33,221,40,10,72
891,Dubidubidu (Chipi Chipi Chapa Chapa),Christell,,2003,2024‑02‑02,148,92,-6,30,98,226,14,5,69
892,DOĞUŞTAN BERİ HAKLIYIM (tmm),Lvbel C5,turkce drill,2024,2024‑02‑02,120,54,-6,9,96,134,63,9,82
893,Like I Do,J.Tajor,,2022,2024‑02‑02,105,49,-6,11,62,149,67,4,77
894,Apa Fer Milaangey,Savi Kahlon,,2023,2024‑02‑02,140,32,-16,10,77,213,89,49,76
895,Perna Bamba,Parangolé,axe,2023,2024‑02‑02,134,89,-3,37,96,127,35,7,63
896,Koi Si,Afsana Khan,punjabi pop,2023,2024‑02‑02,125,61,-8,21,61,200,81,6,73
897,Half of forever,Henrik,,2024,2024‑02‑02,77,31,-7,26,48,153,73,3,73
898,ติดฝน (rain),PiXXiE,t-pop,2023,2024‑02‑02,174,48,-5,23,45,197,73,5,71
899,"Urugi Urugi - From ""Joe""",Siddhu Kumar,tamil pop,2023,2024‑02‑02,108,51,-7,9,48,223,83,3,64
900,CLEARED - Remix,Lilithzplug,,2023,2024‑02‑02,130,59,-9,8,46,126,69,8,81
901,Baby Eu Tava na Rua da Água,TR,,2023,2024‑02‑02,84,70,3,31,72,116,27,20,77
902,Bling-Bang-Bang-Born,Creepy Nuts,j-pop,2024,2024‑02‑02,157,82,-7,17,75,168,8,25,90
903,Wall Of Eyes,The Smile,uk post-punk revival,2024,2024‑02‑02,142,37,-15,10,64,306,81,4,66
904,Friend Of A Friend,The Smile,uk post-punk revival,2024,2024‑02‑02,123,31,-12,11,26,275,57,3,64
905,Pi Po Po Po Ro Po,Pedrinha Moraes,,2024,2024‑02‑02,124,96,-5,38,62,175,46,7,66
906,Bad Feeling (Oompa Loompa),Jagwar Twin,,2023,2024‑02‑02,190,81,-4,8,90,134,9,12,82
907,Poison - Hazbin Hotel Original Soundtrack,Blake Roman,otacore,2024,2024‑02‑02,75,78,-5,10,46,128,2,6,82
908,ARABA,M Lisa,,2024,2024‑02‑02,90,65,-8,8,59,133,48,6,78
909,Aa,Roach Killa,bhangra,2023,2024‑02‑02,100,59,-7,54,72,163,12,6,70
910,Kapak Olsun,Defkhan,turkish hip hop,2023,2024‑02‑02,120,55,-8,28,30,147,22,4,76
911,Ebda' Men Gedid,Al Massrieen,arab groove,2017,2024‑02‑02,91,76,-7,10,77,228,35,5,30
912,Sah,Al Massrieen,arab groove,2017,2024‑02‑02,119,52,-10,6,96,224,63,22,44
913,Longa 79,Al Massrieen,arab groove,2017,2024‑02‑02,153,90,-5,36,83,212,36,8,36
914,Mafatshi Leh,Al Massrieen,arab groove,2017,2024‑02‑02,127,62,-9,25,38,170,0,3,46
915,El Bahr Azra,Al Massrieen,arab groove,2017,2024‑02‑02,102,66,-7,29,37,358,25,3,39
916,أنا وقهوتي,Rashad ComBal,,2023,2024‑02‑02,150,45,-11,12,69,157,88,11,48
917,النجدة,Rashad ComBal,,2024,2024‑02‑02,120,34,-11,10,62,209,89,9,48
918,Kiss,TootArd,arab alternative,2020,2024‑02‑02,130,62,-9,4,85,213,0,3,42
919,Law Kan Be Eady,Hany Shnoda Ferqet Masr,,1984,2024‑02‑02,148,43,-14,26,83,173,43,3,34
920,اللي نفسه فيا بيتي ميتوهش,كلوشه,egyptian viral pop,2023,2024‑02‑02,108,95,-1,37,91,379,34,10,56
921,Mafatsh Leih,El Masreyeen,,1977,2024‑02‑02,127,57,-11,39,52,166,1,3,33
922,El Shawarea Hawadeet,El Masreyeen,,1977,2024‑02‑02,199,47,-14,13,44,339,7,4,39
923,née-nah,21 Savage,atl hip hop,2024,2024‑02‑02,165,76,-7,57,32,221,0,23,90
924,من صغري عقباوي,اسلام كابونجا,mahraganat,2023,2024‑02‑02,107,89,-1,9,84,265,24,7,52
925,El Hop Elly Kan,Mayada El Hennawy,arab pop,1997,2024‑02‑02,93,52,-11,31,62,"1,185",66,4,52
926,Abdaa Men Gedeed,Hany Shnoda Ferqet Masr,,1982,2024‑02‑02,91,46,-15,11,82,225,55,4,33
927,Lama Kan El Bahr Azraa,Hany Shnoda Ferqet Masr,,1982,2024‑02‑02,102,30,-17,61,53,353,60,3,42
928,Hazeny,Hany Shnoda Ferqet Masr,,1982,2024‑02‑02,125,60,-15,12,96,311,9,5,36
929,Nothing's New,Rio Romeo,pov: indie,2022,2024‑02‑02,96,39,-8,10,40,211,86,3,87
930,اسأل عني,Nour El Nabawy,mahraganat,2023,2024‑02‑02,124,96,-3,33,58,166,2,8,46
931,اهي مشيت,farid,arab pop,2023,2024‑02‑02,150,60,-5,11,46,225,62,3,53
932,سخنت,ZIAD ZAZA,egyptian trap,2024,2024‑02‑02,172,66,-7,9,70,186,85,33,54
933,كالقمر,Rashad ComBal,,2023,2024‑02‑02,109,33,-12,35,62,142,92,7,49
934,99,Lege-Cy,egyptian hip hop,2024,2024‑02‑02,101,72,-8,12,16,195,29,16,54
935,عم الخطر,Fares Sokar,egyptian viral pop,2024,2024‑02‑02,108,90,-1,11,76,329,14,4,41
936,SALAM YABA - سلام يابا,Youssef Rousse - يوسف روسي,egyptian viral pop,2023,2024‑02‑02,120,74,-6,12,85,195,9,5,36
937,Happy Nation,Ace of Base,eurodance,1992,2024‑02‑02,96,86,-5,8,67,255,0,4,77
938,Bécane - A COLORS SHOW,Yamê,,2023,2024‑02‑02,118,53,-8,10,23,182,33,10,87
939,Awkat Ashouf Malamhak,El Masreyeen,,1979,2024‑02‑02,70,37,-15,11,21,363,60,4,40
940,Funk of Suffering,SXID,gym phonk,2023,2024‑02‑02,124,83,-2,31,61,77,30,4,72
941,OM NOM NOM,LXNGVX,phonk brasileiro,2023,2024‑02‑02,130,86,-1,17,49,111,11,6,67
942,ENOUGH!,Eternxlkz,,2023,2024‑02‑02,130,58,-5,22,84,91,4,3,60
943,MURDER PLOT,Kordhell,drift phonk,2022,2024‑02‑02,140,97,-2,11,72,127,0,9,73
