Unnamed: 0,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
520,Here With Me,d4vd,bedroom pop,2023,2024‑02‑02,132,46,-9,12,30,242,54,3,90
521,Smooth Operator - Single Version,Sade,british soul,1994,2024‑02‑02,119,58,-7,3,96,259,24,3,82
522,Sure Thing,Miguel,r&b,2010,2024‑02‑02,81,61,-8,19,50,195,3,10,90
523,MONACO,Bad Bunny,reggaeton,2023,2024‑02‑02,139,62,-5,58,13,267,15,7,93
524,Never Lose Me,Flo Milli,viral rap,2023,2024‑02‑02,122,57,-8,10,7,126,5,10,91
525,Mask Off,Future,atl hip hop,2017,2024‑02‑02,150,43,-9,17,28,205,1,43,51
526,Players,Coi Leray,new jersey underground rap,2022,2024‑02‑02,105,52,-6,5,62,140,3,16,79
527,IDGAF (feat. Yeat),Drake,canadian hip hop,2023,2024‑02‑02,137,67,-8,21,14,260,5,27,92
528,If We Ever Broke Up,Mae Stephens,singer-songwriter pop,2023,2024‑02‑02,116,73,-4,9,96,143,62,4,82
529,Night Changes,One Direction,boy band,2014,2024‑02‑02,120,52,-8,12,37,227,86,4,89
530,Atlantis,Seafret,folk-pop,2016,2024‑02‑02,166,48,-8,12,21,229,5,3,87
531,Not Allowed,TV Girl,pov: indie,2016,2024‑02‑02,105,91,-7,35,56,168,67,13,90
532,Shut up My Moms Calling,Hotel Ugly,modern indie pop,2020,2024‑02‑02,138,41,-11,10,38,165,33,10,91
533,Surround Sound (feat. 21 Savage & Baby Tate),JID,hip hop,2022,2024‑02‑02,76,56,-7,26,47,230,17,48,94
534,The Night We Met,Lord Huron,indie folk,2015,2024‑02‑02,87,37,-10,64,10,208,97,4,92
535,Sweater Weather,The Neighbourhood,modern alternative rock,2013,2024‑02‑02,124,81,-3,10,40,240,5,3,93
536,Stick Season,Noah Kahan,pov: indie,2022,2024‑02‑02,118,49,-7,10,82,182,78,7,97
537,Paint The Town Red,Doja Cat,dance pop,2023,2024‑02‑02,100,54,-9,9,73,232,27,17,93
538,Angels Like You,Miley Cyrus,pop,2020,2024‑02‑02,122,64,-4,10,49,196,10,3,88
539,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,hip pop,2023,2024‑02‑02,144,58,-8,23,75,110,52,25,85
540,People,Libianca,afrobeats,2022,2024‑02‑02,124,42,-8,10,69,185,55,7,86
541,Cupid - Twin Ver.,FIFTY FIFTY,k-pop girl group,2023,2024‑02‑02,120,59,-8,35,73,174,44,3,84
542,Radio,Lana Del Rey,art pop,2012,2024‑02‑02,75,86,-5,11,20,215,19,7,83
543,IT'S GETTING HOT,NLE Choppa,memphis hip hop,2023,2024‑02‑02,106,76,-4,7,58,134,2,6,73
544,Sprinter,Dave,uk hip hop,2023,2024‑02‑02,141,58,-8,8,66,226,19,24,90
545,fukumean,Gunna,atl hip hop,2023,2024‑02‑02,130,62,-7,28,22,125,12,9,93
546,Si No Estás,iñigo quintero,,2022,2024‑02‑02,98,42,-9,14,52,184,83,3,95
547,golden hour,JVKE,modern indie pop,2022,2024‑02‑02,94,59,-5,25,15,209,65,3,86
548,Those Eyes,New West,toronto indie,2023,2024‑02‑02,120,35,-8,29,24,221,70,3,85
549,Daylight,David Kushner,gen z singer-songwriter,2023,2024‑02‑02,130,43,-9,9,32,213,83,3,94
550,Lovin On Me,Jack Harlow,deep underground hip hop,2023,2024‑02‑02,105,56,-5,9,61,138,0,6,99
551,Boy's a liar Pt. 2,PinkPantheress,bedroom pop,2023,2024‑02‑02,133,81,-8,25,86,131,25,5,84
