Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
"Warhammer 40,000: Inquisitor - Prophecy",Mixed,(25),"['Action, Adventure, Indie, RPG']","['Single-player', 'Online PvP', 'Online Co-op']","['Action, Adventure, Indie, RPG']",NeocoreGames,NeocoreGames,"30 Jul, 2019",https://store.steampowered.com/app/1042800/Warhammer_40000_Inquisitor__Prophecy/?snr=1_7_7_7000_150_19,$2.49
The Devourer: Hunted Souls,Very Positive,(23),"['Action, Adventure, Indie, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Tracked Controller Support', 'Steam Cloud']","['Action, Adventure, Indie, Early Access']",ZTEK Studio,ZTEK Studio,"26 Oct, 2023",https://store.steampowered.com/app/2309400/The_Devourer_Hunted_Souls/?snr=1_7_7_7000_150_19,$5.79
Unheard - Voices of Crime,Very Positive,(153),"['Indie, RPG, Simulation']","['Single-player', 'Steam Cloud']","['Indie, RPG, Simulation']",NEXT Studios,NEXT Studios,"29 Mar, 2019",https://store.steampowered.com/app/942970/Unheard__Voices_of_Crime/?snr=1_7_7_7000_150_19,$3.99
Verdun,Very Positive,(53),"['Action, Indie, Massively Multiplayer, Simulation, Strategy']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","['Action, Indie, Massively Multiplayer, Simulation, Strategy']",BlackMill Games,BlackMill Games,"28 Apr, 2015",https://store.steampowered.com/app/242860/Verdun/?snr=1_7_7_7000_150_19,$10.49
Undernauts: Labyrinth of Yomi,Very Positive,(94),['RPG'],"['Single-player', 'Steam Achievements', 'Remote Play Together']",['RPG'],EXPERIENCE,Aksys Games,"4 Nov, 2021",https://store.steampowered.com/app/1570510/Undernauts_Labyrinth_of_Yomi/?snr=1_7_7_7000_150_19,$59.99
Saints Row: The Third,Very Positive,(145),['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",['Action'],Volition,Deep Silver,"18 Nov, 2011",https://store.steampowered.com/app/55230/Saints_Row_The_Third/?snr=1_7_7_7000_150_19,$7.99
Burnout™ Paradise Remastered,Mostly Positive,(54),"['Action, Adventure, Racing']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']","['Action, Adventure, Racing']",Stellar Entertainment,Electronic Arts,"21 Aug, 2018",https://store.steampowered.com/app/1238080/Burnout_Paradise_Remastered/?snr=1_7_7_7000_150_19,$19.99
Amanda the Adventurer,Very Positive,(99),['Indie'],"['Single-player', 'Steam Achievements']",['Indie'],MANGLEDmaw Games,DreadXP,"25 Apr, 2023",https://store.steampowered.com/app/2166060/Amanda_the_Adventurer/?snr=1_7_7_7000_150_19,$4.99
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,Very Positive,(35),['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",['Action'],SANDLOT,D3PUBLISHER,"19 Jul, 2016",https://store.steampowered.com/app/410320/EARTH_DEFENSE_FORCE_41_The_Shadow_of_New_Despair/?snr=1_7_7_7000_150_19,$19.99
Just Dance 2017,Mostly Positive,"(1,818)",['Casual'],"['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'In-App Purchases', 'Remote Play Together']",['Casual'],Ubisoft Paris,Ubisoft,"27 Oct, 2016",https://store.steampowered.com/app/446560/Just_Dance_2017/?snr=1_7_7_7000_150_19,$39.99
Railway Empire,Mostly Positive,(38),"['Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV']","['Simulation, Strategy']",Gaming Minds Studios,Kalypso Media,"26 Jan, 2018",https://store.steampowered.com/app/503940/Railway_Empire/?snr=1_7_7_7000_150_19,$29.99
ENDLESS™ Space 2,Mostly Positive,(80),['Strategy'],"['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']",['Strategy'],AMPLITUDE Studios,SEGA,"18 May, 2017",https://store.steampowered.com/app/392110/ENDLESS_Space_2/?snr=1_7_7_7000_150_19,$33.99
Topple Tactics,Very Positive,(73),"['Action, Casual, Indie, Strategy']",['Online PvP'],"['Action, Casual, Indie, Strategy']",Braian Strak,Tewtiy,"20 Oct, 2023",https://store.steampowered.com/app/2390260/Topple_Tactics/?snr=1_7_7_7000_150_19,$9.99
