Name,Genre,Price,Review
Game of Thrones Winter is Coming,Free to Play,0.0,Mixed
Borderlands 3,Action,59.99,Very Positive
Borderlands 3,RPG,59.99,Very Positive
Limbus Company,Action,0.0,Very Positive
Limbus Company,RPG,0.0,Very Positive
Limbus Company,Strategy,0.0,Very Positive
The Forest,Action,10.49,Overwhelmingly Positive
The Forest,Adventure,10.49,Overwhelmingly Positive
The Forest,Indie,10.49,Overwhelmingly Positive
The Forest,Simulation,10.49,Overwhelmingly Positive
FINAL FANTASY VI,RPG,11.19,Very Positive
Assetto Corsa Competizione,Racing,18.99,Very Positive
Assetto Corsa Competizione,Simulation,18.99,Very Positive
Assetto Corsa Competizione,Sports,18.99,Very Positive
Citizen Sleeper,Adventure,5.24,Very Positive
Citizen Sleeper,Indie,5.24,Very Positive
Citizen Sleeper,RPG,5.24,Very Positive
Train Simulator Classic,Simulation,12.49,Mostly Positive
The Universim,Indie,14.99,Very Positive
The Universim,Simulation,14.99,Very Positive
The Universim,Strategy,14.99,Very Positive
Satisfactory,Adventure,29.99,Overwhelmingly Positive
Satisfactory,Indie,29.99,Overwhelmingly Positive
Satisfactory,Simulation,29.99,Overwhelmingly Positive
Satisfactory,Strategy,29.99,Overwhelmingly Positive
Satisfactory,Early Access,29.99,Overwhelmingly Positive
Eternal Return,Indie,0.0,Mostly Positive
Eternal Return,Strategy,0.0,Mostly Positive
Eternal Return,Free to Play,0.0,Mostly Positive
The Matchless Kungfu,Indie,5.6,Very Positive
The Matchless Kungfu,RPG,5.6,Very Positive
The Matchless Kungfu,Strategy,5.6,Very Positive
The Matchless Kungfu,Early Access,5.6,Very Positive
RuneScape ®,Massively Multiplayer,0.0,Very Positive
RuneScape ®,RPG,0.0,Very Positive
RuneScape ®,Free to Play,0.0,Very Positive
Governor of Poker 3,Casual,0.0,Mostly Positive
Governor of Poker 3,Massively Multiplayer,0.0,Mostly Positive
Governor of Poker 3,Simulation,0.0,Mostly Positive
Governor of Poker 3,Free to Play,0.0,Mostly Positive
Bendy and the Ink Machine,Action,9.99,Very Positive
Bendy and the Ink Machine,Adventure,9.99,Very Positive
Bendy and the Ink Machine,Indie,9.99,Very Positive
Bendy and the Ink Machine,Strategy,9.99,Very Positive
Pummel Party,Action,14.99,Very Positive
Pummel Party,Casual,14.99,Very Positive
Pummel Party,Indie,14.99,Very Positive
Medieval Dynasty,Action,17.99,Very Positive
Medieval Dynasty,Adventure,17.99,Very Positive
Medieval Dynasty,Indie,17.99,Very Positive
Medieval Dynasty,RPG,17.99,Very Positive
Medieval Dynasty,Simulation,17.99,Very Positive
Battlefield™ V,Action,49.99,Mostly Positive
FINAL FANTASY IX,RPG,6.79,Very Positive
Deep Rock Galactic,Action,29.99,Overwhelmingly Positive
BattleBit Remastered,Action,14.99,Very Positive
BattleBit Remastered,Massively Multiplayer,14.99,Very Positive
BattleBit Remastered,Early Access,14.99,Very Positive
FINAL FANTASY V,RPG,11.19,Very Positive
Overcooked! All You Can Eat,Casual,18.99,Mostly Positive
Overcooked! All You Can Eat,Indie,18.99,Mostly Positive
Overcooked! All You Can Eat,Simulation,18.99,Mostly Positive
Overcooked! All You Can Eat,Strategy,18.99,Mostly Positive
HARVESTELLA,Action,22.49,Mostly Positive
HARVESTELLA,RPG,22.49,Mostly Positive
HARVESTELLA,Simulation,22.49,Mostly Positive
Age of Wonders 4,Strategy,29.99,Very Positive
Headbangers: Rhythm Royale,Casual,7.02,Mostly Positive
Crossout,Action,0.0,Mostly Positive
Crossout,Massively Multiplayer,0.0,Mostly Positive
Crossout,Racing,0.0,Mostly Positive
Crossout,Free to Play,0.0,Mostly Positive
Roboquest,Action,10.99,Overwhelmingly Positive
Roboquest,Indie,10.99,Overwhelmingly Positive
DARK SOULS™: REMASTERED,Action,24.99,Very Positive
The Escapists 2,Indie,2.62,Very Positive
The Escapists 2,Simulation,2.62,Very Positive
The Escapists 2,Strategy,2.62,Very Positive
GUILTY GEAR -STRIVE-,Action,19.99,Very Positive
Total War: WARHAMMER II,Action,49.99,Very Positive
Total War: WARHAMMER II,Strategy,49.99,Very Positive
Sunkenland,Action,19.99,Very Positive
Sunkenland,Indie,19.99,Very Positive
Sunkenland,Early Access,19.99,Very Positive
Kenshi,Action,14.99,Overwhelmingly Positive
Kenshi,Indie,14.99,Overwhelmingly Positive
Kenshi,RPG,14.99,Overwhelmingly Positive
Kenshi,Simulation,14.99,Overwhelmingly Positive
Kenshi,Strategy,14.99,Overwhelmingly Positive
F1® 23,Racing,69.99,Very Positive
F1® 23,Sports,69.99,Very Positive
Fishing Planet,Massively Multiplayer,0.0,Very Positive
Fishing Planet,Simulation,0.0,Very Positive
Fishing Planet,Sports,0.0,Very Positive
Fishing Planet,Free to Play,0.0,Very Positive
State of Decay 2: Juggernaut Edition,Action,14.99,Very Positive
State of Decay 2: Juggernaut Edition,RPG,14.99,Very Positive
State of Decay 2: Juggernaut Edition,Simulation,14.99,Very Positive
Among Us,Casual,2.49,Very Positive
METAL GEAR SOLID V: THE PHANTOM PAIN,Action,10.49,Very Positive
METAL GEAR SOLID V: THE PHANTOM PAIN,Adventure,10.49,Very Positive
Gears 5,Action,9.99,Mostly Positive
Gears 5,Adventure,9.99,Mostly Positive
Master of Magic,Indie,9.49,Mostly Positive
Master of Magic,RPG,9.49,Mostly Positive
Master of Magic,Strategy,9.49,Mostly Positive
LEGO® Pirates of the Caribbean: The Video Game,Action,2.62,Very Positive
LEGO® Pirates of the Caribbean: The Video Game,Adventure,2.62,Very Positive
Wizard101,Adventure,0.0,Very Positive
Wizard101,Casual,0.0,Very Positive
Wizard101,Massively Multiplayer,0.0,Very Positive
Wizard101,RPG,0.0,Very Positive
Wizard101,Strategy,0.0,Very Positive
Wizard101,Free to Play,0.0,Very Positive
Café Stella and the Reaper's Butterflies,Adventure,25.19,Overwhelmingly Positive
Café Stella and the Reaper's Butterflies,Casual,25.19,Overwhelmingly Positive
Victoria 3,Simulation,29.99,Mixed
Victoria 3,Strategy,29.99,Mixed
FINAL FANTASY VII,RPG,3.79,Very Positive
Geometry Dash,Action,3.99,Very Positive
Geometry Dash,Indie,3.99,Very Positive
MX Bikes,Racing,17.99,Very Positive
MX Bikes,Simulation,17.99,Very Positive
MX Bikes,Sports,17.99,Very Positive
MX Bikes,Early Access,17.99,Very Positive
FINAL FANTASY® XIII,RPG,5.19,Mostly Positive
Farthest Frontier,Indie,14.99,Very Positive
Farthest Frontier,Simulation,14.99,Very Positive
Farthest Frontier,Strategy,14.99,Very Positive
Farthest Frontier,Early Access,14.99,Very Positive
Tom Clancy’s The Division® 2,Action,23.99,Mostly Positive
Tom Clancy’s The Division® 2,Adventure,23.99,Mostly Positive
Tom Clancy’s The Division® 2,RPG,23.99,Mostly Positive
Fallout 3: Game of the Year Edition,RPG,3.95,Mostly Positive
Summer Memories,Adventure,2.0,Very Positive
Summer Memories,RPG,2.0,Very Positive
Dragonheir: Silent Gods,Adventure,0.0,Mixed
Dragonheir: Silent Gods,Massively Multiplayer,0.0,Mixed
Dragonheir: Silent Gods,RPG,0.0,Mixed
Dragonheir: Silent Gods,Strategy,0.0,Mixed
Dragonheir: Silent Gods,Free to Play,0.0,Mixed
Diplomacy is Not an Option,Strategy,9.99,Very Positive
Diplomacy is Not an Option,Early Access,9.99,Very Positive
Timberborn,Indie,12.49,Overwhelmingly Positive
Timberborn,Simulation,12.49,Overwhelmingly Positive
Timberborn,Strategy,12.49,Overwhelmingly Positive
Timberborn,Early Access,12.49,Overwhelmingly Positive
My Summer Car,Indie,7.99,Very Positive
My Summer Car,Racing,7.99,Very Positive
My Summer Car,Simulation,7.99,Very Positive
My Summer Car,Early Access,7.99,Very Positive
Worms W.M.D,Action,2.24,Very Positive
Worms W.M.D,Strategy,2.24,Very Positive
STAR WARS™ Republic Commando™,Action,2.02,Overwhelmingly Positive
The Case of the Golden Idol,Adventure,6.03,Overwhelmingly Positive
The Case of the Golden Idol,Indie,6.03,Overwhelmingly Positive
"STAR WARS™ Battlefront (Classic, 2004)",Action,2.02,Overwhelmingly Positive
LEGO® Indiana Jones™: The Original Adventures,Action,2.62,Very Positive
LEGO® Indiana Jones™: The Original Adventures,Adventure,2.62,Very Positive
Demonologist,Action,7.99,Very Positive
Demonologist,Adventure,7.99,Very Positive
Demonologist,Indie,7.99,Very Positive
Inscryption,Adventure,10.49,Overwhelmingly Positive
Inscryption,Indie,10.49,Overwhelmingly Positive
Inscryption,Strategy,10.49,Overwhelmingly Positive
Frostpunk,Simulation,14.99,Very Positive
Frostpunk,Strategy,14.99,Very Positive
Wartales,Adventure,17.99,Very Positive
Wartales,Indie,17.99,Very Positive
Wartales,RPG,17.99,Very Positive
Wartales,Strategy,17.99,Very Positive
Slay the Princess,Adventure,9.29,Overwhelmingly Positive
Slay the Princess,Indie,9.29,Overwhelmingly Positive
Slay the Princess,RPG,9.29,Overwhelmingly Positive
Slay the Princess,Simulation,9.29,Overwhelmingly Positive
Total War: ROME II - Emperor Edition,Strategy,26.99,Very Positive
Dinkum,Indie,15.99,Very Positive
Dinkum,RPG,15.99,Very Positive
Dinkum,Simulation,15.99,Very Positive
Dinkum,Early Access,15.99,Very Positive
Super Auto Pets,Free to Play,0.0,Very Positive
Super Auto Pets,Strategy,0.0,Very Positive
Total War: WARHAMMER,Action,49.99,Mostly Positive
Total War: WARHAMMER,Strategy,49.99,Mostly Positive
Borderlands 2,Action,19.99,Overwhelmingly Positive
Borderlands 2,RPG,19.99,Overwhelmingly Positive
Plants vs. Zombies GOTY Edition,Strategy,4.99,Overwhelmingly Positive
Bopl Battle,Action,5.79,Overwhelmingly Positive
Assassin's Creed Valhalla,Action,47.99,Mostly Positive
Assassin's Creed Valhalla,Adventure,47.99,Mostly Positive
Assassin's Creed Valhalla,RPG,47.99,Mostly Positive
GTFO,Action,14.99,Very Positive
Outlast,Action,10.49,Overwhelmingly Positive
Outlast,Adventure,10.49,Overwhelmingly Positive
Outlast,Indie,10.49,Overwhelmingly Positive
Tom Clancy's Ghost Recon® Breakpoint,Action,47.99,Mostly Positive
Tom Clancy's Ghost Recon® Breakpoint,Adventure,47.99,Mostly Positive
Dyson Sphere Program,Indie,19.99,Overwhelmingly Positive
Dyson Sphere Program,Simulation,19.99,Overwhelmingly Positive
Dyson Sphere Program,Strategy,19.99,Overwhelmingly Positive
Dyson Sphere Program,Early Access,19.99,Overwhelmingly Positive
Green Hell,Action,6.68,Very Positive
Green Hell,Adventure,6.68,Very Positive
Green Hell,Indie,6.68,Very Positive
Green Hell,Simulation,6.68,Very Positive
Six Days in Fallujah,Action,11.99,Very Positive
Six Days in Fallujah,Early Access,11.99,Very Positive
Death Must Die,Action,3.99,Very Positive
Death Must Die,Casual,3.99,Very Positive
Death Must Die,Indie,3.99,Very Positive
Death Must Die,RPG,3.99,Very Positive
Death Must Die,Early Access,3.99,Very Positive
Outlast 2,Action,14.99,Very Positive
Outlast 2,Adventure,14.99,Very Positive
Outlast 2,Indie,14.99,Very Positive
Craft The World,Indie,1.97,Very Positive
Craft The World,RPG,1.97,Very Positive
Craft The World,Simulation,1.97,Very Positive
Craft The World,Strategy,1.97,Very Positive
Sniper Elite 5,Action,49.99,Very Positive
Sniper Elite 5,Adventure,49.99,Very Positive
Dungeon Alchemist,RPG,44.99,Very Positive
Dungeon Alchemist,Early Access,44.99,Very Positive
Dishonored 2,Action,3.59,Very Positive
Mind Over Magic,Simulation,12.49,Very Positive
Mind Over Magic,Early Access,12.49,Very Positive
Pioneers of Pagonia,Simulation,14.99,Very Positive
Pioneers of Pagonia,Strategy,14.99,Very Positive
Pioneers of Pagonia,Early Access,14.99,Very Positive
Inside the Backrooms,Adventure,6.99,Very Positive
Inside the Backrooms,Indie,6.99,Very Positive
Inside the Backrooms,Early Access,6.99,Very Positive
Undertale,Indie,9.99,Overwhelmingly Positive
Undertale,RPG,9.99,Overwhelmingly Positive
IdleOn - The Idle MMO,Casual,0.0,Mostly Positive
IdleOn - The Idle MMO,Indie,0.0,Mostly Positive
IdleOn - The Idle MMO,Massively Multiplayer,0.0,Mostly Positive
IdleOn - The Idle MMO,RPG,0.0,Mostly Positive
IdleOn - The Idle MMO,Simulation,0.0,Mostly Positive
IdleOn - The Idle MMO,Free to Play,0.0,Mostly Positive
IdleOn - The Idle MMO,Early Access,0.0,Mostly Positive
Lords Mobile,Massively Multiplayer,0.0,Mixed
Lords Mobile,RPG,0.0,Mixed
Lords Mobile,Strategy,0.0,Mixed
Lords Mobile,Free to Play,0.0,Mixed
Disney Infinity 2.0: Gold Edition,Action,3.74,Very Positive
Disney Infinity 2.0: Gold Edition,Adventure,3.74,Very Positive
My Time at Sandrock,Adventure,27.99,Very Positive
My Time at Sandrock,Casual,27.99,Very Positive
My Time at Sandrock,Indie,27.99,Very Positive
My Time at Sandrock,RPG,27.99,Very Positive
My Time at Sandrock,Simulation,27.99,Very Positive
Forza Horizon 4,Racing,19.99,Very Positive
GROUND BRANCH,Action,14.99,Very Positive
GROUND BRANCH,Indie,14.99,Very Positive
GROUND BRANCH,Simulation,14.99,Very Positive
GROUND BRANCH,Early Access,14.99,Very Positive
For The King II,Adventure,12.49,Mostly Positive
For The King II,Indie,12.49,Mostly Positive
For The King II,RPG,12.49,Mostly Positive
For The King II,Strategy,12.49,Mostly Positive
Wasteland 3,RPG,5.69,Very Positive
Wasteland 3,Strategy,5.69,Very Positive
The Isle,Action,19.99,Very Positive
The Isle,Adventure,19.99,Very Positive
The Isle,Indie,19.99,Very Positive
The Isle,Massively Multiplayer,19.99,Very Positive
The Isle,Simulation,19.99,Very Positive
The Isle,Early Access,19.99,Very Positive
LIGHTNING RETURNS™: FINAL FANTASY® XIII,RPG,6.39,Mostly Positive
Old School RuneScape,Adventure,0.0,Very Positive
Old School RuneScape,Massively Multiplayer,0.0,Very Positive
Old School RuneScape,RPG,0.0,Very Positive
Old School RuneScape,Free to Play,0.0,Very Positive
WARNO,Action,39.99,Very Positive
WARNO,Indie,39.99,Very Positive
WARNO,Simulation,39.99,Very Positive
WARNO,Strategy,39.99,Very Positive
WARNO,Early Access,39.99,Very Positive
The Exit 8,Adventure,2.49,Very Positive
The Exit 8,Indie,2.49,Very Positive
The Exit 8,Simulation,2.49,Very Positive
Stronghold: Definitive Edition,Simulation,7.99,Very Positive
Stronghold: Definitive Edition,Strategy,7.99,Very Positive
Age of Empires III: Definitive Edition,Free to Play,0.0,Very Positive
Age of Empires III: Definitive Edition,Strategy,0.0,Very Positive
Muse Dash,Action,2.99,Very Positive
Muse Dash,Casual,2.99,Very Positive
Muse Dash,Indie,2.99,Very Positive
暖雪 Warm Snow,Action,6.39,Very Positive
暖雪 Warm Snow,Adventure,6.39,Very Positive
暖雪 Warm Snow,Indie,6.39,Very Positive
暖雪 Warm Snow,RPG,6.39,Very Positive
Grim Dawn,Action,12.49,Very Positive
Grim Dawn,Adventure,12.49,Very Positive
Grim Dawn,Indie,12.49,Very Positive
Grim Dawn,RPG,12.49,Very Positive
Crusader Kings II,Free to Play,0.0,Very Positive
Crusader Kings II,RPG,0.0,Very Positive
Crusader Kings II,Simulation,0.0,Very Positive
Crusader Kings II,Strategy,0.0,Very Positive
Shieldwall,Action,5.99,Very Positive
Shieldwall,Casual,5.99,Very Positive
Shieldwall,Indie,5.99,Very Positive
Shieldwall,Simulation,5.99,Very Positive
Shieldwall,Strategy,5.99,Very Positive
Realm of the Mad God Exalt,Action,0.0,Very Positive
Realm of the Mad God Exalt,Free to Play,0.0,Very Positive
