Name,Review,Genre,Tags,Developer,Publisher,Price,release_date,Total Number Of Reviews
Sprocket,Very Positive,"['Action, Indie, Simulation, Early Access']","['Single-player', 'Steam Cloud']",Hamish Dunn,Hamish Dunn,19.99,2021-08-26,7798.0
Volcano Princess,Overwhelmingly Positive,"['Indie, RPG, Simulation']","['Single-player', 'Steam Achievements']",养蛋人 Egg Hatcher,Gamera Games,10.99,2023-04-21,27399.0
Don't Starve,Overwhelmingly Positive,"['Adventure, Indie, Simulation']","['Single-player', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Klei Entertainment,Klei Entertainment,5.79,2013-04-23,89149.0
Heretic's Fork,Very Positive,"['Action, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']",9FingerGames,Ravenage Games,4.51,2023-09-13,1951.0
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,Very Positive,"['Action, Casual, Strategy']","['Single-player', 'Online PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'In-App Purchases']",PopCap,Electronic Arts,29.99,2022-05-16,17196.0
Planet Coaster,Very Positive,"['Action, Adventure, Casual, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",Frontier Developments,Frontier Developments,20.99,2016-11-17,50954.0
RoboCop: Rogue City,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Teyon,Nacon,24.99,2023-11-02,6307.0
Company of Heroes 2,Very Positive,['Strategy'],"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']",Relic Entertainment,SEGA,17.99,2013-06-25,63159.0
BIGFOOT,Very Positive,"['Action, Adventure, Indie, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']",CyberLight Game Studio,CyberLight Game Studio,19.99,2017-01-31,14292.0
Need for Speed™ Heat,Very Positive,"['Action, Adventure, Racing, Sports']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Tablet', 'HDR available']",Ghost Games,Electronic Arts,69.99,2019-11-08,81738.0
Songs of Syx,Overwhelmingly Positive,"['Indie, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",Gamatron AB,Gamatron AB,12.49,2020-09-21,3190.0
Phoenix Wright: Ace Attorney Trilogy,Overwhelmingly Positive,['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",22.49,2019-04-09,21577.0
Thief,Mostly Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']",Eidos-Montréal,Eidos Interactive Corp.,1.49,2014-02-28,15961.0
HELLDIVERS™ Dive Harder Edition,Very Positive,['Action'],"['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Arrowhead Game Studios,PlayStation PC LLC,19.99,2015-12-07,19738.0
Goose Goose Duck,Very Positive,"['Casual, Indie, Massively Multiplayer, Strategy, Free to Play']","['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']","Gaggle Studios, Inc.","Gaggle Studios, Inc.",0.0,2021-10-03,58651.0
Pillars of Eternity,Very Positive,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Commentary available', 'Remote Play on Tablet']",Obsidian Entertainment,Xbox Game Studios,7.49,2015-03-26,14601.0
Left 4 Dead,Overwhelmingly Positive,['Action'],"['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes Source SDK', 'Commentary available', 'Remote Play on TV', 'Remote Play Together']",Valve,Valve,5.79,2008-11-17,45002.0
Sid Meier's Civilization® V,Overwhelmingly Positive,['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']",Firaxis Games,2K,29.99,2010-09-23,119125.0
Crab Champions,Overwhelmingly Positive,"['Action, Adventure, Casual, Indie, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']",Noisestorm Limited,Noisestorm Limited,9.99,2023-04-01,16433.0
Astro Colony,Very Positive,"['Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes Source SDK']",Terad Games,Terad Games,6.81,2022-11-07,1550.0
Universe Sandbox,Overwhelmingly Positive,"['Casual, Indie, Simulation, Early Access']","['Single-player', 'VR Supported', 'Steam Workshop', 'Steam Cloud']",Giant Army,Giant Army,14.99,2015-08-24,19589.0
STAR WARS™ Episode I Racer,Very Positive,"['Action, Racing']",['Single-player'],LucasArts,Lucasfilm,2.02,1999-05-17,1695.0
Sledders,Overwhelmingly Positive,"['Racing, Simulation, Sports, Early Access']","['Single-player', 'Online PvP', 'Online Co-op']",Hanki Games,Bonus Stage Publishing,12.49,2023-12-05,893.0
Library Of Ruina,Very Positive,"['Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']",ProjectMoon,ProjectMoon,29.99,2021-08-10,22455.0
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Mixed,"['Action, Adventure']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']","CyberConnect2 Co., Ltd.",Bandai Namco Entertainment,39.99,2023-11-17,1897.0
Ravenswatch,Mostly Positive,"['Action, Adventure, Early Access']","['Single-player', 'Online Co-op', 'Steam Cloud']",Passtech Games,Nacon,12.99,2023-04-06,5313.0
KovaaK's,Very Positive,"['Action, Indie, Simulation']","['Single-player', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Includes level editor']",The Meta,The Meta,9.99,2018-04-03,28021.0
Trailmakers,Very Positive,"['Action, Adventure, Indie, Racing, Simulation']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Leaderboards', 'Remote Play on TV']",Flashbulb,Flashbulb,24.99,2019-09-18,16721.0
RiichiCity - ACG mahjong games,Mixed,"['Casual, Sports, Strategy, Free to Play']","['Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","Formirai Co., Ltd.","Formirai Co., Ltd.",0.0,2022-09-08,1542.0
OPERATOR,Mostly Positive,"['Action, Indie, RPG, Simulation, Strategy, Early Access']","['Single-player', 'Online Co-op']",vector 2,vector 2,19.99,2023-08-01,1193.0
NUKITASHI,Overwhelmingly Positive,['Adventure'],"['Single-player', 'Steam Cloud']",Qruppo,Shiravune,8.74,2023-06-23,851.0
Eco,Very Positive,"['Indie, Simulation, Early Access']","['Single-player', 'Online Co-op', 'LAN Co-op']",Strange Loop Games,Strange Loop Games,14.99,2018-02-06,9636.0
Draw & Guess,Very Positive,"['Casual, Indie']","['Online PvP', 'Online Co-op', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",Acureus,Acureus,2.99,2021-03-12,27559.0
Kingdom Rush - Tower Defense,Overwhelmingly Positive,['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Ironhide Game Studio,Ironhide Game Studio,5.99,2014-01-06,10333.0
TEKKEN 7,Very Positive,"['Action, Sports']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']",BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,24.99,2017-06-02,63262.0
Psychonauts 2,Overwhelmingly Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play Together']",Double Fine Productions,Xbox Game Studios,20.39,2021-08-25,8800.0
Gems of War - Puzzle RPG,Mostly Positive,"['Action, Adventure, Casual, RPG, Strategy, Free to Play']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']",Infinity Plus 2,505 Games,0.0,2014-11-20,9592.0
Mass Effect™ Legendary Edition,Very Positive,"['Action, RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on TV']",BioWare,Electronic Arts,59.99,2021-05-14,39442.0
SANABI,Overwhelmingly Positive,"['Action, Adventure, Indie']","['Single-player', 'Steam Cloud']",WONDER POTION,NEOWIZ,14.38,2023-11-09,18560.0
Kingdom Rush Frontiers - Tower Defense,Overwhelmingly Positive,['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Ironhide Game Studio,Ironhide Game Studio,5.99,2016-07-25,7307.0
Tropico 6,Very Positive,"['Simulation, Strategy']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV']",Limbic Entertainment,Kalypso Media,39.99,2019-03-29,16625.0
CounterSide,Mostly Positive,"['RPG, Free to Play']","['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","Studiobside Co.,Ltd","Studiobside Co.,Ltd",0.0,2022-09-01,2973.0
Call of Duty®: Modern Warfare® 2 (2009),Very Positive,['Action'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",Infinity Ward,Activision,19.99,2009-11-12,30672.0
The Survivalists,Mostly Positive,"['Action, Adventure, Casual, Indie']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']",Team17,Team17,12.49,2020-10-09,5318.0
Cookie Clicker,Overwhelmingly Positive,"['Casual, Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",Orteil,Playsaurus,2.99,2021-09-01,55426.0
STALCRAFT,Mostly Positive,"['Action, Adventure, Massively Multiplayer, RPG']","['MMO', 'Online PvP', 'Online Co-op', 'In-App Purchases']",EXBO,EXBO,0.0,2022-12-09,38643.0
Nioh 2 – The Complete Edition,Very Positive,"['Action, RPG']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'HDR available']","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",41.69,2021-02-05,27496.0
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,Very Positive,"['Action, Adventure']","['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,12.99,2016-02-05,64864.0
The Texas Chain Saw Massacre,Mostly Positive,"['Action, Indie']","['Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Sumo Digital,Gun Interactive,18.99,2023-08-18,13931.0
Thief Simulator 2,Very Positive,"['Action, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",CookieDev,PlayWay S.A.,19.99,2023-10-04,2754.0
Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,Overwhelmingly Positive,['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",LucasArts,LucasArts,2.02,2010-07-07,2242.0
Sands of Salzaar,Very Positive,"['Adventure, Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",汉家松鼠Han-Squirrel Studio,XD,7.49,2021-12-16,20497.0
Armored Warfare,Mixed,"['Action, Adventure, Casual, Indie, Massively Multiplayer, Racing, Simulation, Strategy, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Steam Turn Notifications']",Obsidian Entertainment,Wishlist Games,0.0,2015-10-08,4183.0
Indiana Jones® and the Emperor's Tomb™,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Cloud']",LucasArts,Lucasfilm,1.25,2003-02-24,760.0
PlanetSide 2,Very Positive,"['Action, Massively Multiplayer, Free to Play']","['MMO', 'Online PvP', 'Steam Trading Cards', 'Steam Cloud']",Rogue Planet Games,Daybreak Game Company,0.0,2012-11-20,71230.0
Automation - The Car Company Tycoon Game,Very Positive,"['Indie, Racing, Simulation, Strategy, Early Access']","['Single-player', 'Steam Workshop']",Camshaft Software Ltd,Camshaft Software Ltd,29.99,2015-03-12,10167.0
Gears Tactics,Mostly Positive,['Strategy'],"['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']",Splash Damage,Xbox Game Studios,9.99,2020-04-28,6328.0
Sonic Adventure 2,Very Positive,['Action'],"['Single-player', 'Remote Play Together']",SEGA,SEGA,9.99,2012-11-19,15747.0
Gas Station Simulator,Very Positive,"['Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud']",DRAGO entertainment,DRAGO entertainment,10.49,2021-09-15,18090.0
Slime Rancher,Overwhelmingly Positive,"['Action, Adventure, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Monomi Park,Monomi Park,8.99,2017-08-01,103157.0
shapez,Overwhelmingly Positive,"['Casual, Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Tobias Springer,tobspr Games,1.73,2020-06-07,9858.0
DAVIGO: VR vs. PC,Very Positive,"['Action, Indie, Early Access']","['Online PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Tracked Controller Support', 'VR Supported', 'Remote Play Together']",Davigo Studio,Davigo Studio,12.49,2023-11-29,426.0
Melvor Idle,Very Positive,"['Adventure, Casual, Indie, RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']",Games by Malcs,Jagex Ltd,6.29,2021-11-18,10803.0
Barotrauma,Very Positive,"['Action, Indie, Simulation, Strategy']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",FakeFish,Daedalic Entertainment,17.99,2023-03-13,43188.0
Disney Pirates of the Caribbean: At Worlds End,Mostly Positive,"['Action, Adventure']","['Single-player', 'Steam Trading Cards', 'Steam Cloud']", Eurocom Entertainment Software,Disney,2.62,2007-05-22,230.0
Endzone - A World Apart,Mostly Positive,"['Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",Gentlymad Studios,Assemble Entertainment,2.99,2021-03-18,7124.0
Door Kickers 2: Task Force North,Overwhelmingly Positive,"['Action, Indie, Simulation, Strategy, Early Access']","['Single-player', 'Online Co-op', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play Together']",KillHouse Games,KillHouse Games,12.49,2020-11-03,6858.0
Batman: Arkham City - Game of the Year Edition,Overwhelmingly Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Rocksteady Studios,WB Games,19.99,2012-09-07,41222.0
Your Only Move Is HUSTLE,Overwhelmingly Positive,"['Action, Indie, Simulation, Strategy']","['Single-player', 'Online PvP', 'LAN PvP']",Ivy Sly,Ivy Sly,4.99,2023-02-03,14904.0
Strange Brigade,Very Positive,"['Action, Adventure']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']",Rebellion,Rebellion,4.99,2018-08-28,7138.0
Foundation,Very Positive,"['Indie, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Polymorph Games,Polymorph Games,14.99,2019-02-01,13336.0
Momodora: Moonlit Farewell,Very Positive,"['Action, Adventure, Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Bombservice,PLAYISM,8.99,2024-01-11,1338.0
Pumping Simulator 2,Very Positive,"['Casual, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Lance Games,Lance Games,5.49,2023-09-12,927.0
Workers & Resources: Soviet Republic,Very Positive,"['Simulation, Strategy, Early Access']","['Single-player', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",3Division,Hooded Horse,19.99,2019-03-15,13954.0
TRYP FPV : The Drone Racer Simulator,Very Positive,"['Indie, Racing, Simulation, Sports, Early Access']",['Single-player'],UNDEAD BATTERY,UNDEAD BATTERY,7.64,2022-06-30,1527.0
Command & Conquer™ Remastered Collection,Very Positive,['Strategy'],"['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",Petroglyph,Electronic Arts,19.99,2020-06-05,26909.0
ROUNDS,Overwhelmingly Positive,"['Action, Indie']","['Online PvP', 'Shared/Split Screen PvP', 'Remote Play Together']",Landfall,Landfall,2.99,2021-04-01,20167.0
Total Conflict: Resistance,Mostly Positive,"['Action, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Thunder Devs.,Thunder Devs.,23.99,2023-04-21,2167.0
Counter-Strike,Overwhelmingly Positive,['Action'],"['Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled']",Valve,Valve,5.79,2000-11-01,146597.0
Barn Finders,Very Positive,"['Casual, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Duality Games,Duality Games,19.99,2020-06-15,3425.0
Mafia: Definitive Edition,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Tablet']",Hangar 13,2K,39.99,2020-09-25,53662.0
Disney G-Force,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Trading Cards', 'Steam Cloud']",Eurocom,Disney,2.62,2009-07-21,418.0
Class of '09,Overwhelmingly Positive,"['Casual, Indie, RPG, Simulation']",['Single-player'],SBN3,SBN3,9.99,2021-06-10,2004.0
VARIOUS DAYLIFE,Mostly Negative,"['Adventure, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Square Enix,Square Enix,11.49,2022-09-13,170.0
Touhou: Lost Branch of Legend,Very Positive,"['Adventure, Indie, RPG, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Alioth Studio,Alioth Studio,23.99,2022-08-18,788.0
Counter-Strike: Source,Overwhelmingly Positive,['Action'],"['Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK']",Valve,Valve,5.79,2004-11-01,113339.0
Viscera Cleanup Detail,Very Positive,"['Indie, Simulation']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play Together']",RuneStorm,RuneStorm,7.29,2015-10-23,14892.0
Across the Obelisk,Very Positive,"['Adventure, Indie, RPG, Strategy']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']",Dreamsite Games,Paradox Interactive,11.99,2021-04-08,8382.0
Steel Division 2,Mostly Positive,"['Action, Indie, Simulation, Strategy']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",Eugen Systems,Eugen Systems,39.99,2019-06-20,6732.0
Total War: ATTILA,Very Positive,['Strategy'],"['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",CREATIVE ASSEMBLY,SEGA,20.99,2015-02-17,23000.0
Uncrashed : FPV Drone Simulator,Very Positive,"['Indie, Racing, Simulation, Sports']","['Single-player', 'Steam Leaderboards']",Louis Rochette,Louis Rochette,7.99,2021-09-01,1815.0
Iron Marines Invasion,Mostly Positive,"['Action, Indie, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Ironhide Game Studio,Ironhide Game Studio,8.99,2023-11-03,130.0
EA SPORTS™ PGA TOUR™,Mixed,"['RPG, Sports']","['Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'In-App Purchases', 'Remote Play Together']",Electronic Arts - Tiburon,Electronic Arts,69.99,2023-04-07,997.0
Beer Factory,Mixed,"['Indie, Simulation']",['Single-player'],AKEL,CreativeForge Games,9.89,2024-01-10,813.0
Fabledom,Very Positive,"['Casual, Simulation, Strategy, Early Access']","['Single-player', 'Steam Cloud']",Grenaa Games,Dear Villagers,15.99,2023-04-13,2582.0
Monster Energy Supercross - The Official Videogame 6,Mixed,"['Racing, Sports']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Milestone S.r.l.,Milestone S.r.l.,14.99,2023-03-09,195.0
Battle Brothers,Very Positive,"['Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']",Overhype Studios,Overhype Studios,14.99,2017-03-24,19356.0
Caliber,Mostly Positive,"['Action, Massively Multiplayer, Free to Play']","['Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",1C Game Studios,1С-777 Limited,0.0,2023-04-12,16520.0
Session: Skate Sim,Very Positive,"['Indie, Simulation, Sports, Strategy']","['Single-player', 'Steam Achievements']",crea-ture Studios Inc.,Nacon,19.99,2022-09-22,10158.0
Unturned,Very Positive,"['Action, Adventure, Casual, Indie, Free to Play']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Remote Play on Tablet']",Smartly Dressed Games,Smartly Dressed Games,0.0,2017-07-07,533648.0
Metro Exodus,Very Positive,['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",4A Games,Deep Silver,22.99,2019-02-14,87764.0
Kuroinu 2 Redux,Mostly Positive,['Adventure'],"['Single-player', 'Steam Cloud']",Liquid,Shiravune,9.99,2023-11-07,69.0
WITCH ON THE HOLY NIGHT,Overwhelmingly Positive,['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Cloud']",TYPE-MOON,Aniplex Inc.,26.99,2023-12-14,1677.0
Eastshade,Very Positive,"['Adventure, Indie']","['Single-player', 'Steam Achievements', 'Remote Play on TV']",Eastshade Studios,Eastshade Studios,9.99,2019-02-13,4517.0
Wizard with a Gun,Very Positive,"['Action, Adventure, Indie']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']",Galvanic Games,Devolver Digital,12.49,2023-10-17,1661.0
TerraTech,Very Positive,"['Action, Indie']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",Payload Studios,Payload Studios,24.99,2018-08-10,17013.0
My Singing Monsters,Very Positive,"['Simulation, Free to Play']","['Single-player', 'Online Co-op', 'In-App Purchases']",Big Blue Bubble,Big Blue Bubble,0.0,2021-03-24,33962.0
Shadowverse CCG,Mostly Positive,"['Strategy, Free to Play']","['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","Cygames, Inc.","Cygames, Inc.",0.0,2016-10-28,14290.0
"Warhammer 40,000: Gladius - Relics of War",Very Positive,['Strategy'],"['Single-player', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play Together']",Proxy Studios,Slitherine Ltd.,18.99,2018-07-12,6412.0
RISK: Global Domination,Very Positive,"['Casual, Strategy, Free to Play']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']",SMG Studio,SMG Studio,0.0,2020-02-19,34335.0
Settlement Survival,Very Positive,"['Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",Gleamer Studio,Gleamer Studio,19.99,2022-10-24,6166.0
Cosmoteer: Starship Architect & Commander,Overwhelmingly Positive,"['Simulation, Strategy, Early Access']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Steam Workshop', 'Steam Cloud']",Walternate Realities,Walternate Realities,10.49,2022-10-24,8140.0
Ravenfield,Overwhelmingly Positive,"['Action, Indie, Early Access']","['Single-player', 'Steam Workshop', 'Includes level editor']",SteelRaven7,SteelRaven7,9.29,2017-05-18,62175.0
MORDHAU,Very Positive,"['Action, Indie']","['Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']",Triternion,Triternion,12.99,2019-04-29,89752.0
Red Dead Online,Very Positive,"['Action, Adventure']","['Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",Rockstar Games,Rockstar Games,19.99,2020-12-01,52360.0
Predecessor,Mostly Positive,"['Action, Massively Multiplayer, Strategy, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']",Omeda Studios,Omeda Studios,4.99,2022-12-01,6252.0
F1® Manager 2023,Mostly Positive,"['Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Frontier Developments,Frontier Developments,25.99,2023-07-31,1407.0
A Total War Saga: TROY,Mostly Positive,"['Action, Simulation, Strategy']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Workshop']",CREATIVE ASSEMBLY,SEGA,39.99,2021-09-02,2453.0
Stranded Deep,Mostly Positive,"['Adventure, Indie']","['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on TV', 'Remote Play Together']",Beam Team Games,Beam Team Publishing,19.99,2022-08-11,39183.0
Jagged Alliance 3,Very Positive,"['Action, Strategy']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Haemimont Games,THQ Nordic,20.99,2023-07-14,7495.0
