,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
54,This Can't Be Love,Abbey Lincoln,contemporary vocal jazz,1957,2024‑02‑02,134,14,-12,22,50,144,83,3,41
55,Mad About the Boy,Ernestine Anderson,vocal jazz,1958,2024‑02‑02,61,16,-12,12,30,204,91,3,41
56,How High The Moon - Remastered,June Christy,cool jazz,1959,2024‑02‑02,113,27,-8,16,31,154,90,6,41
57,I Cover The Waterfront,Paul Gonsalves,jazz saxophone,1987,2024‑02‑02,75,4,-25,14,33,246,96,4,41
58,When You're Smiling,Lee Konitz Quartet,,1957,2024‑02‑02,103,15,-17,14,52,226,91,5,41
59,The Things We Did Last Summer,Dizzy Reece,british jazz,1999,2024‑02‑02,131,19,-14,12,31,378,96,4,41
60,This Year's Kisses (with Teddy Wilson & His Orchestra),Billie Holiday,adult standards,1937,2024‑02‑02,109,15,-14,12,74,188,92,5,41
61,Blame It On My Youth (with Paul Weston & His Orchestra),Rosemary Clooney,adult standards,1948,2024‑02‑02,84,9,-13,11,14,220,98,3,41
62,These Foolish Things,Lester Young,bebop,1959,2024‑02‑02,131,5,-19,9,17,204,98,11,41
63,I Concentrate On You,Fred Astaire,adult standards,1994,2024‑02‑02,104,3,-24,12,27,168,97,6,42
64,Spring Will Be A Little Late This Year,Red Garland Trio,bebop,1990,2024‑02‑02,147,31,-14,9,45,342,83,4,42
65,Time And Again,Oscar Peterson Trio,bebop,2021,2024‑02‑02,140,9,-24,11,7,281,96,4,42
66,Body And Soul,Benny Carter,bebop,1962,2024‑02‑02,76,34,-11,12,31,251,83,6,42
67,Autumn Leaves,Jo Stafford,torch song,2001,2024‑02‑02,90,13,-16,38,34,153,99,4,42
68,Georgia On My Mind,Teresa Brewer,deep adult standards,2000,2024‑02‑02,185,3,-25,13,15,225,95,4,42
69,Self Portrait (Of The Bean),Duke Ellington,african-american classical,1995,2024‑02‑02,77,12,-15,17,24,234,93,4,42
70,Darn That Dream - Remastered 2015,Dexter Gordon,bebop,1965,2024‑02‑02,85,3,-22,13,27,451,89,4,43
71,I Guess I'll Hang My Tears Out To Dry,Cannonball Adderley Quartet,,1959,2024‑02‑02,104,20,-12,9,22,335,91,3,43
72,I'll See You Again,Bill Evans,bebop,1964,2024‑02‑02,80,27,-19,11,51,235,69,4,43
73,Honeysuckle Rose,Bing Crosby,adult standards,2014,2024‑02‑02,139,15,-17,11,71,146,86,10,43
74,I've Got A Crush On You,Chris Connor,torch song,2005,2024‑02‑02,94,5,-20,11,27,139,92,4,43
75,Just One Of Those Things - Take 8 - Master Take,Billie Holiday,adult standards,1957,2024‑02‑02,96,36,-12,31,69,333,65,4,43
76,Crazy He Calls Me,Anita O'Day,torch song,1961,2024‑02‑02,69,12,-15,10,25,208,84,5,43
77,Easy To Love,Oscar Peterson,bebop,1959,2024‑02‑02,103,7,-26,11,31,154,95,5,43
78,Lil Darlin',Kai Winding,jazz brass,1961,2024‑02‑02,184,2,-30,12,22,245,98,6,43
79,I Remember Clifford,John Lewis,jazz piano,2005,2024‑02‑02,78,2,-28,11,30,211,97,5,43
80,Shiny Stockings,Count Basie,big band,1956,2024‑02‑02,118,31,-15,7,48,314,78,6,43
81,Autumn Breeze,Paul Bley,contemporary post-bop,1954,2024‑02‑02,122,33,-12,15,48,190,98,5,43
82,All The Way - Rudy Van Gelder Edition / 2007 / Digital Remaster,Lee Morgan,bebop,1957,2024‑02‑02,117,23,-10,13,33,447,98,3,43
83,Misty,Don Byas,jazz saxophone,2007,2024‑02‑02,72,8,-15,20,49,187,95,4,43
84,Without a Song - Remastered,Sonny Rollins,bebop,1962,2024‑02‑02,112,28,-16,14,34,447,75,5,44
